soundFile,word,location,repetition,trialnum,condition,corrAns,soundFile3,soundFile2,soundFile1,soundFile6,soundFile5,soundFile4,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,instr8_key_resp.keys,instr8_key_resp.rt,instr9_key_resp.keys,instr9_key_resp.rt,instr10_key_resp.keys,instr10_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date
pi.wav,1,1,33,379,S,,,,,,,,0,0,0,0,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
tu.wav,1,2,33,380,S,,,,,,,,0,1,1,1,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
bi.wav,1,3,33,381,S,,,,,,,,0,2,2,2,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
pi.wav,1,1,34,385,S,,,,,,,,0,3,3,3,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
tu.wav,1,2,34,386,S,,,,,,,,0,4,4,4,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
bi.wav,1,3,34,387,S,,,,,,,,0,5,5,5,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
bu.wav,4,1,33,391,S,,,,,,,,0,6,6,6,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
pa.wav,4,2,33,392,S,,,,,,,,0,7,7,7,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
da.wav,4,3,33,393,S,,,,,,,,0,8,8,8,,,,,,,,,3,0.000248035,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
ta.wav,3,1,33,394,S,,,,,,,,0,9,9,9,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
ti.wav,3,2,33,395,S,,,,,,,,0,10,10,10,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
du.wav,3,3,33,396,S,,,,,,,,0,11,11,11,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
di.wav,2,1,33,397,S,,,,,,,,0,12,12,12,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
ba.wav,2,2,33,398,S,,,,,,,,0,13,13,13,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
pu.wav,2,3,33,399,S,,,,,,,,0,14,14,14,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
pi.wav,1,1,35,400,S,,,,,,,,0,15,15,15,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
tu.wav,1,2,35,401,S,,,,,,,,0,16,16,16,,,,,,,,,3,0.050235064,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
bi.wav,1,3,35,402,S,,,,,,,,0,17,17,17,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
ta.wav,3,1,34,403,S,,,,,,,,0,18,18,18,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
ti.wav,3,2,34,404,S,,,,,,,,0,19,19,19,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
du.wav,3,3,34,405,S,,,,,,,,0,20,20,20,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
bu.wav,4,1,34,406,S,,,,,,,,0,21,21,21,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
pa.wav,4,2,34,407,S,,,,,,,,0,22,22,22,,,,,,,,,3,0.191908311,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
da.wav,4,3,34,408,S,,,,,,,,0,23,23,23,,,,,,,,,None,,,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
2C.wav,0,1,1,385,R,,,,,,,,,,,,0,0,0,0,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
1B.wav,0,2,1,386,R,,,,,,,,,,,,0,1,1,1,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
3C.wav,0,3,1,387,R,,,,,,,,,,,,0,2,2,2,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
2B.wav,0,1,1,388,R,,,,,,,,,,,,0,3,3,3,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
3A.wav,0,2,1,389,R,,,,,,,,,,,,0,4,4,4,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
2C.wav,0,3,1,390,R,,,,,,,,,,,,0,5,5,5,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
3B.wav,0,1,1,391,R,,,,,,,,,,,,0,6,6,6,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
3C.wav,0,2,1,392,R,,,,,,,,,,,,0,7,7,7,,,,,,,3,0.383633441,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
2A.wav,0,3,1,393,R,,,,,,,,,,,,0,8,8,8,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
3B.wav,0,1,1,394,R,,,,,,,,,,,,0,9,9,9,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
4A.wav,0,2,1,395,R,,,,,,,,,,,,0,10,10,10,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
3A.wav,0,3,1,396,R,,,,,,,,,,,,0,11,11,11,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
2B.wav,0,1,1,397,R,,,,,,,,,,,,0,12,12,12,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
4A.wav,0,2,1,398,R,,,,,,,,,,,,0,13,13,13,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
3C.wav,0,3,1,399,R,,,,,,,,,,,,0,14,14,14,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
1C.wav,0,1,1,400,R,,,,,,,,,,,,0,15,15,15,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
4C.wav,0,2,1,401,R,,,,,,,,,,,,0,16,16,16,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
4B.wav,0,3,1,402,R,,,,,,,,,,,,0,17,17,17,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
3B.wav,0,1,1,403,R,,,,,,,,,,,,0,18,18,18,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
4B.wav,0,2,1,404,R,,,,,,,,,,,,0,19,19,19,,,,,,,None,,,,,,,,,,,pu,3,3,123.9163936,2C,auditory,2017_Oct_25_1008
