soundFile,word,location,repetition,trialnum,condition,practice_trials_1.thisRepN,practice_trials_1.thisTrialN,practice_trials_1.thisN,practice_trials_1.thisIndex,practice_trials_2.thisRepN,practice_trials_2.thisTrialN,practice_trials_2.thisN,practice_trials_2.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,practice_trial_1.keys,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
ti.wav,3,2,3,35,S,,,,,,,,,0,10,10,10,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
du.wav,3,3,3,36,S,,,,,,,,,0,11,11,11,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pi.wav,1,1,4,37,S,,,,,,,,,0,12,12,12,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
tu.wav,1,2,4,38,S,,,,,,,,,0,13,13,13,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bi.wav,1,3,4,39,S,,,,,,,,,0,14,14,14,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ta.wav,3,1,4,40,S,,,,,,,,,0,15,15,15,,,,,,3,0.283593391068,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ti.wav,3,2,4,41,S,,,,,,,,,0,16,16,16,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
du.wav,3,3,4,42,S,,,,,,,,,0,17,17,17,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pi.wav,1,1,5,43,S,,,,,,,,,0,18,18,18,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
tu.wav,1,2,5,44,S,,,,,,,,,0,19,19,19,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bi.wav,1,3,5,45,S,,,,,,,,,0,20,20,20,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bu.wav,4,1,4,46,S,,,,,,,,,0,21,21,21,,,,,,3,0.316945573548,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pa.wav,4,2,4,47,S,,,,,,,,,0,22,22,22,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
da.wav,4,3,4,48,S,,,,,,,,,0,23,23,23,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,24,24,24,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,25,25,25,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,26,26,26,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,27,27,27,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,28,28,28,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,29,29,29,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,30,30,30,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,31,31,31,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,32,32,32,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,33,33,33,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,34,34,34,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0,0,0,0,B,,,,,,,,,0,35,35,35,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
di.wav,2,1,4,49,S,,,,,,,,,0,36,36,36,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ba.wav,2,2,4,50,S,,,,,,,,,0,37,37,37,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pu.wav,2,3,4,51,S,,,,,,,,,0,38,38,38,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ta.wav,3,1,5,52,S,,,,,,,,,0,39,39,39,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ti.wav,3,2,5,53,S,,,,,,,,,0,40,40,40,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
du.wav,3,3,5,54,S,,,,,,,,,0,41,41,41,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pi.wav,1,1,6,55,S,,,,,,,,,0,42,42,42,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
tu.wav,1,2,6,56,S,,,,,,,,,0,43,43,43,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bi.wav,1,3,6,57,S,,,,,,,,,0,44,44,44,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bu.wav,4,1,5,58,S,,,,,,,,,0,45,45,45,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pa.wav,4,2,5,59,S,,,,,,,,,0,46,46,46,,,,,,3,0.0184604076203,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
da.wav,4,3,5,60,S,,,,,,,,,0,47,47,47,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
di.wav,2,1,5,61,S,,,,,,,,,0,48,48,48,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ba.wav,2,2,5,62,S,,,,,,,,,0,49,49,49,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pu.wav,2,3,5,63,S,,,,,,,,,0,50,50,50,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bu.wav,4,1,6,64,S,,,,,,,,,0,51,51,51,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pa.wav,4,2,6,65,S,,,,,,,,,0,52,52,52,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
da.wav,4,3,6,66,S,,,,,,,,,0,53,53,53,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pi.wav,1,1,7,67,S,,,,,,,,,0,54,54,54,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
tu.wav,1,2,7,68,S,,,,,,,,,0,55,55,55,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bi.wav,1,3,7,69,S,,,,,,,,,0,56,56,56,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ta.wav,3,1,6,70,S,,,,,,,,,0,57,57,57,,,,,,3,0.108704779297,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ti.wav,3,2,6,71,S,,,,,,,,,0,58,58,58,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
du.wav,3,3,6,72,S,,,,,,,,,0,59,59,59,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3B.wav,0.0,1.0,1.0,25.0,R,,,,,,,,,,,,,0,0,0,0,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4C.wav,0.0,2.0,1.0,26.0,R,,,,,,,,,,,,,0,1,1,1,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3B.wav,0.0,3.0,1.0,27.0,R,,,,,,,,,,,,,0,2,2,2,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2B.wav,0.0,1.0,1.0,28.0,R,,,,,,,,,,,,,0,3,3,3,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4A.wav,0.0,2.0,1.0,29.0,R,,,,,,,,,,,,,0,4,4,4,,,,3,0.0585632966831,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1C.wav,0.0,3.0,1.0,30.0,R,,,,,,,,,,,,,0,5,5,5,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1A.wav,0.0,1.0,1.0,31.0,R,,,,,,,,,,,,,0,6,6,6,,,,3,0.341956154676,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4B.wav,0.0,2.0,1.0,32.0,R,,,,,,,,,,,,,0,7,7,7,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2A.wav,0.0,3.0,1.0,33.0,R,,,,,,,,,,,,,0,8,8,8,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2B.wav,0.0,1.0,1.0,34.0,R,,,,,,,,,,,,,0,9,9,9,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3C.wav,0.0,2.0,1.0,35.0,R,,,,,,,,,,,,,0,10,10,10,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2C.wav,0.0,3.0,1.0,36.0,R,,,,,,,,,,,,,0,11,11,11,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2A.wav,0.0,1.0,1.0,37.0,R,,,,,,,,,,,,,0,12,12,12,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1B.wav,0.0,2.0,1.0,38.0,R,,,,,,,,,,,,,0,13,13,13,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4C.wav,0.0,3.0,1.0,39.0,R,,,,,,,,,,,,,0,14,14,14,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3A.wav,0.0,1.0,1.0,40.0,R,,,,,,,,,,,,,0,15,15,15,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3C.wav,0.0,2.0,1.0,41.0,R,,,,,,,,,,,,,0,16,16,16,,,,3,0.0585473678075,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3A.wav,0.0,3.0,1.0,42.0,R,,,,,,,,,,,,,0,17,17,17,,,,3,0.158565515419,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4A.wav,0.0,1.0,1.0,43.0,R,,,,,,,,,,,,,0,18,18,18,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2C.wav,0.0,2.0,1.0,44.0,R,,,,,,,,,,,,,0,19,19,19,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2C.wav,0.0,3.0,1.0,45.0,R,,,,,,,,,,,,,0,20,20,20,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2A.wav,0.0,1.0,1.0,46.0,R,,,,,,,,,,,,,0,21,21,21,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4B.wav,0.0,2.0,1.0,47.0,R,,,,,,,,,,,,,0,22,22,22,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2B.wav,0.0,3.0,1.0,48.0,R,,,,,,,,,,,,,0,23,23,23,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,24,24,24,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,25,25,25,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,26,26,26,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,27,27,27,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,28,28,28,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,29,29,29,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,30,30,30,,,,3,0.226646019844,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,31,31,31,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,32,32,32,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,33,33,33,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,34,34,34,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,,,,,,,,,0,35,35,35,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3C.wav,0.0,1.0,1.0,49.0,R,,,,,,,,,,,,,0,36,36,36,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1B.wav,0.0,2.0,1.0,50.0,R,,,,,,,,,,,,,0,37,37,37,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2B.wav,0.0,3.0,1.0,51.0,R,,,,,,,,,,,,,0,38,38,38,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2C.wav,0.0,1.0,1.0,52.0,R,,,,,,,,,,,,,0,39,39,39,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3B.wav,0.0,2.0,1.0,53.0,R,,,,,,,,,,,,,0,40,40,40,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3B.wav,0.0,3.0,1.0,54.0,R,,,,,,,,,,,,,0,41,41,41,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3A.wav,0.0,1.0,1.0,55.0,R,,,,,,,,,,,,,0,42,42,42,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1C.wav,0.0,2.0,1.0,56.0,R,,,,,,,,,,,,,0,43,43,43,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1C.wav,0.0,3.0,1.0,57.0,R,,,,,,,,,,,,,0,44,44,44,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4B.wav,0.0,1.0,1.0,58.0,R,,,,,,,,,,,,,0,45,45,45,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4C.wav,0.0,2.0,1.0,59.0,R,,,,,,,,,,,,,0,46,46,46,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1A.wav,0.0,3.0,1.0,60.0,R,,,,,,,,,,,,,0,47,47,47,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4B.wav,0.0,1.0,1.0,61.0,R,,,,,,,,,,,,,0,48,48,48,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4A.wav,0.0,2.0,1.0,62.0,R,,,,,,,,,,,,,0,49,49,49,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3C.wav,0.0,3.0,1.0,63.0,R,,,,,,,,,,,,,0,50,50,50,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2C.wav,0.0,1.0,1.0,64.0,R,,,,,,,,,,,,,0,51,51,51,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
