soundFile,word,location,repetition,trialnum,condition,corrAns,soundFile3,soundFile2,soundFile1,soundFile6,soundFile5,soundFile4,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,instr8_key_resp.keys,instr8_key_resp.rt,instr9_key_resp.keys,instr9_key_resp.rt,instr10_key_resp.keys,instr10_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
pi.wav,1,1,33,379,S,,,,,,,,0,0,0,0,,,,,,,,,None,,,,,,,,,,,,,da,3,005,119.992763948,1C,auditory,2017_Oct_31_1024,
tu.wav,1,2,33,380,S,,,,,,,,0,1,1,1,,,,,,,,,None,,,,,,,,,,,,,da,3,005,119.992763948,1C,auditory,2017_Oct_31_1024,
bi.wav,1,3,33,381,S,,,,,,,,0,2,2,2,,,,,,,,,None,,,,,,,,,,,,,da,3,005,119.992763948,1C,auditory,2017_Oct_31_1024,
pi.wav,1,1,34,385,S,,,,,,,,0,3,3,3,,,,,,,,,None,,,,,,,,,,,,,da,3,005,119.992763948,1C,auditory,2017_Oct_31_1024,
tu.wav,1,2,34,386,S,,,,,,,,0,4,4,4,,,,,,,,,None,,,,,,,,,,,,,da,3,005,119.992763948,1C,auditory,2017_Oct_31_1024,
bi.wav,1,3,34,387,S,,,,,,,,0,5,5,5,,,,,,,,,None,,,,,,,,,,,,,da,3,005,119.992763948,1C,auditory,2017_Oct_31_1024,
bu.wav,4,1,33,391,S,,,,,,,,0,6,6,6,,,,,,,,,None,,,,,,,,,,,,,da,3,005,119.992763948,1C,auditory,2017_Oct_31_1024,
pa.wav,4,2,33,392,S,,,,,,,,0,7,7,7,,,,,,,,,None,,,,,,,,,,,,,da,3,005,119.992763948,1C,auditory,2017_Oct_31_1024,
da.wav,4,3,33,393,S,,,,,,,,0,8,8,8,,,,,,,,,None,,,,,,,,,,,,,da,3,005,119.992763948,1C,auditory,2017_Oct_31_1024,
ta.wav,3,1,33,394,S,,,,,,,,0,9,9,9,,,,,,,,,4,0.233567676973,,,,,,,,,,,,da,3,005,119.992763948,1C,auditory,2017_Oct_31_1024,
