"","key_resp.corr","Run","PartID","expName","modality","task"
"349",1,2,"f005","visual","linguistic","LSL"
"350",0,2,"f005","visual","linguistic","LSL"
"351",0,2,"f005","visual","linguistic","LSL"
"352",1,2,"f005","visual","linguistic","LSL"
"353",0,2,"f005","visual","linguistic","LSL"
"354",1,2,"f005","visual","linguistic","LSL"
"355",0,2,"f005","visual","linguistic","LSL"
"356",1,2,"f005","visual","linguistic","LSL"
"357",1,2,"f005","visual","linguistic","LSL"
"358",1,2,"f005","visual","linguistic","LSL"
"359",0,2,"f005","visual","linguistic","LSL"
"360",0,2,"f005","visual","linguistic","LSL"
"361",1,2,"f005","visual","linguistic","LSL"
"362",1,2,"f005","visual","linguistic","LSL"
"363",1,2,"f005","visual","linguistic","LSL"
"364",0,2,"f005","visual","linguistic","LSL"
