Subject,Session,AgeMonth,AgeYears,gender,Group,languages,SessionDate,Block,Procedure[Block],Trial,answer.ACC,answer.CRESP,answer.OnsetToOnsetTime,answer.RESP,answer.RT,answer.RTTime,correctAnswer,correctKeyboard,nonword,Procedure[Trial],word
101,1,3,26,male,1,hebrew,11/05/2017,1,exposureProc,1,,,,,,,,,,SoundExposure,
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,1,1,q,0,q,1652,218711,dukame,q,gekalu,SegmentationProc,dukame
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,2,1,q,0,q,2377,224607,tobelu,q,tomubi,SegmentationProc,tobelu
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,3,1,p,0,p,2824,230943,kimuga,p,duloga,SegmentationProc,kimuga
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,4,1,q,0,q,278,234735,nalobi,q,nadime,SegmentationProc,nalobi
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,5,1,p,0,p,1010,239271,gedino,p,kibeno,SegmentationProc,gedino
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,6,0,p,0,q,2090,244871,nalobi,p,duloga,SegmentationProc,nalobi
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,7,1,q,0,q,237,248623,kimuga,q,gekalu,SegmentationProc,kimuga
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,8,1,p,0,p,260,252399,dukame,p,kibeno,SegmentationProc,dukame
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,9,1,p,0,p,249,256158,gedino,p,tomubi,SegmentationProc,gedino
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,10,1,q,0,q,535,260214,tobelu,q,nadime,SegmentationProc,tobelu
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,11,0,q,0,p,521,264254,nalobi,q,gekalu,SegmentationProc,nalobi
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,12,1,q,0,q,141,267910,dukame,q,tomubi,SegmentationProc,dukame
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,13,1,q,0,q,704,272126,kimuga,q,kibeno,SegmentationProc,kimuga
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,14,1,p,0,p,299,275942,gedino,p,nadime,SegmentationProc,gedino
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,15,0,p,0,q,447,279910,tobelu,p,duloga,SegmentationProc,tobelu
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,16,1,q,0,q,429,283862,dukame,q,nadime,SegmentationProc,dukame
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,17,1,q,0,q,2116,289502,tobelu,q,gekalu,SegmentationProc,tobelu
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,18,0,q,0,p,1198,294222,gedino,q,duloga,SegmentationProc,gedino
101,1,3,26,male,1,hebrew,11/05/2017,2,SegmentationTest,19,1,p,0,p,309,298054,kimuga,p,tomubi,SegmentationProc,kimuga
