"","key_resp.corr","Run","PartID","expName","modality","task"
"481",0,6,5,"auditory","non-linguistic","TSL"
"482",0,6,5,"auditory","non-linguistic","TSL"
"483",0,6,5,"auditory","non-linguistic","TSL"
"484",0,6,5,"auditory","non-linguistic","TSL"
"485",0,6,5,"auditory","non-linguistic","TSL"
"486",0,6,5,"auditory","non-linguistic","TSL"
"487",0,6,5,"auditory","non-linguistic","TSL"
"488",0,6,5,"auditory","non-linguistic","TSL"
"489",1,6,5,"auditory","non-linguistic","TSL"
"490",0,6,5,"auditory","non-linguistic","TSL"
"491",1,6,5,"auditory","non-linguistic","TSL"
"492",1,6,5,"auditory","non-linguistic","TSL"
"493",0,6,5,"auditory","non-linguistic","TSL"
"494",1,6,5,"auditory","non-linguistic","TSL"
"495",0,6,5,"auditory","non-linguistic","TSL"
"496",0,6,5,"auditory","non-linguistic","TSL"
"497",0,6,5,"auditory","non-linguistic","TSL"
"498",0,6,5,"auditory","non-linguistic","TSL"
"499",1,6,5,"auditory","non-linguistic","TSL"
"500",1,6,5,"auditory","non-linguistic","TSL"
"501",0,6,5,"auditory","non-linguistic","TSL"
"502",1,6,5,"auditory","non-linguistic","TSL"
"503",1,6,5,"auditory","non-linguistic","TSL"
"504",1,6,5,"auditory","non-linguistic","TSL"
"505",1,6,5,"auditory","non-linguistic","TSL"
"506",1,6,5,"auditory","non-linguistic","TSL"
"507",1,6,5,"auditory","non-linguistic","TSL"
"508",0,6,5,"auditory","non-linguistic","TSL"
"509",0,6,5,"auditory","non-linguistic","TSL"
"510",0,6,5,"auditory","non-linguistic","TSL"
"511",1,6,5,"auditory","non-linguistic","TSL"
