"","key_resp.corr","Run","PartID","expName","modality","task"
"506",1,6,"f001","visual","non-linguistic","VSL"
"507",1,6,"f001","visual","non-linguistic","VSL"
"508",1,6,"f001","visual","non-linguistic","VSL"
"509",1,6,"f001","visual","non-linguistic","VSL"
"510",1,6,"f001","visual","non-linguistic","VSL"
"511",1,6,"f001","visual","non-linguistic","VSL"
"512",1,6,"f001","visual","non-linguistic","VSL"
"513",1,6,"f001","visual","non-linguistic","VSL"
"514",1,6,"f001","visual","non-linguistic","VSL"
"515",1,6,"f001","visual","non-linguistic","VSL"
"516",1,6,"f001","visual","non-linguistic","VSL"
"517",1,6,"f001","visual","non-linguistic","VSL"
"518",1,6,"f001","visual","non-linguistic","VSL"
"519",1,6,"f001","visual","non-linguistic","VSL"
"520",1,6,"f001","visual","non-linguistic","VSL"
"521",1,6,"f001","visual","non-linguistic","VSL"
"522",1,6,"f001","visual","non-linguistic","VSL"
"523",1,6,"f001","visual","non-linguistic","VSL"
"524",1,6,"f001","visual","non-linguistic","VSL"
"525",1,6,"f001","visual","non-linguistic","VSL"
"526",1,6,"f001","visual","non-linguistic","VSL"
"527",1,6,"f001","visual","non-linguistic","VSL"
"528",1,6,"f001","visual","non-linguistic","VSL"
"529",1,6,"f001","visual","non-linguistic","VSL"
"530",1,6,"f001","visual","non-linguistic","VSL"
"531",1,6,"f001","visual","non-linguistic","VSL"
"532",1,6,"f001","visual","non-linguistic","VSL"
"533",1,6,"f001","visual","non-linguistic","VSL"
"534",1,6,"f001","visual","non-linguistic","VSL"
"535",1,6,"f001","visual","non-linguistic","VSL"
"536",1,6,"f001","visual","non-linguistic","VSL"
"537",1,6,"f001","visual","non-linguistic","VSL"
