"","key_resp.corr","Run","PartID","expName","modality","task"
"484",0,3,"f002","auditory","linguistic","SSL"
"485",1,3,"f002","auditory","linguistic","SSL"
"486",1,3,"f002","auditory","linguistic","SSL"
"487",0,3,"f002","auditory","linguistic","SSL"
"488",0,3,"f002","auditory","linguistic","SSL"
"489",0,3,"f002","auditory","linguistic","SSL"
"490",1,3,"f002","auditory","linguistic","SSL"
"491",1,3,"f002","auditory","linguistic","SSL"
"492",1,3,"f002","auditory","linguistic","SSL"
"493",1,3,"f002","auditory","linguistic","SSL"
"494",0,3,"f002","auditory","linguistic","SSL"
"495",0,3,"f002","auditory","linguistic","SSL"
"496",1,3,"f002","auditory","linguistic","SSL"
"497",1,3,"f002","auditory","linguistic","SSL"
"498",0,3,"f002","auditory","linguistic","SSL"
"499",0,3,"f002","auditory","linguistic","SSL"
"500",1,3,"f002","auditory","linguistic","SSL"
"501",1,3,"f002","auditory","linguistic","SSL"
"502",1,3,"f002","auditory","linguistic","SSL"
"503",0,3,"f002","auditory","linguistic","SSL"
"504",0,3,"f002","auditory","linguistic","SSL"
"505",0,3,"f002","auditory","linguistic","SSL"
"506",0,3,"f002","auditory","linguistic","SSL"
"507",1,3,"f002","auditory","linguistic","SSL"
"508",0,3,"f002","auditory","linguistic","SSL"
"509",0,3,"f002","auditory","linguistic","SSL"
"510",0,3,"f002","auditory","linguistic","SSL"
"511",1,3,"f002","auditory","linguistic","SSL"
"512",1,3,"f002","auditory","linguistic","SSL"
"513",0,3,"f002","auditory","linguistic","SSL"
"514",0,3,"f002","auditory","linguistic","SSL"
"515",1,3,"f002","auditory","linguistic","SSL"
